Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_12_81,VGND,li1,68.0800,65.2800,0.000000
FILLER_0_12_69,VGND,li1,64.8600,65.2800,0.000000
FILLER_0_12_57,VGND,li1,59.3400,65.2800,0.000000
FILLER_0_12_53,VGND,li1,55.4300,65.2800,0.000000
FILLER_0_12_41,VGND,li1,51.9800,65.2800,0.000000
FILLER_0_12_29,VGND,li1,46.4600,65.2800,0.000000
FILLER_0_12_27,VGND,li1,43.0100,65.2800,0.000000
FILLER_0_12_15,VGND,li1,40.0200,65.2800,0.000000
FILLER_0_12_3,VGND,li1,34.5000,65.2800,0.000000
FILLER_0_11_81,VGND,li1,68.0800,65.2800,0.000000
FILLER_0_11_69,VGND,li1,64.8600,65.2800,0.000000
FILLER_0_11_57,VGND,li1,59.3400,65.2800,0.000000
FILLER_0_11_55,VGND,li1,55.8900,65.2800,0.000000
FILLER_0_11_51,VGND,li1,54.7400,65.2800,0.000000
FILLER_0_11_39,VGND,li1,51.0600,65.2800,0.000000
FILLER_0_11_27,VGND,li1,45.5400,65.2800,0.000000
FILLER_0_11_15,VGND,li1,40.0200,65.2800,0.000000
FILLER_0_11_3,VGND,li1,34.5000,65.2800,0.000000
FILLER_0_10_77,VGND,li1,67.1600,59.8400,0.000000
FILLER_0_10_65,VGND,li1,63.0200,59.8400,0.000000
FILLER_0_10_53,VGND,li1,57.5000,59.8400,0.000000
FILLER_0_10_41,VGND,li1,51.9800,59.8400,0.000000
FILLER_0_10_29,VGND,li1,46.4600,59.8400,0.000000
FILLER_0_10_27,VGND,li1,43.0100,59.8400,0.000000
FILLER_0_10_15,VGND,li1,40.0200,59.8400,0.000000
FILLER_0_10_3,VGND,li1,34.5000,59.8400,0.000000
FILLER_0_9_81,VGND,li1,68.0800,59.8400,0.000000
FILLER_0_9_69,VGND,li1,64.8600,59.8400,0.000000
FILLER_0_9_57,VGND,li1,59.3400,59.8400,0.000000
FILLER_0_9_55,VGND,li1,55.8900,59.8400,0.000000
FILLER_0_9_51,VGND,li1,54.7400,59.8400,0.000000
FILLER_0_9_39,VGND,li1,51.0600,59.8400,0.000000
FILLER_0_9_27,VGND,li1,45.5400,59.8400,0.000000
FILLER_0_9_15,VGND,li1,40.0200,59.8400,0.000000
FILLER_0_9_3,VGND,li1,34.5000,59.8400,0.000000
FILLER_0_8_77,VGND,li1,67.1600,54.4000,0.000000
FILLER_0_8_65,VGND,li1,63.0200,54.4000,0.000000
FILLER_0_8_53,VGND,li1,57.5000,54.4000,0.000000
FILLER_0_8_41,VGND,li1,51.9800,54.4000,0.000000
FILLER_0_8_29,VGND,li1,46.4600,54.4000,0.000000
FILLER_0_8_27,VGND,li1,43.0100,54.4000,0.000000
FILLER_0_8_15,VGND,li1,40.0200,54.4000,0.000000
FILLER_0_8_3,VGND,li1,34.5000,54.4000,0.000000
FILLER_0_7_81,VGND,li1,68.0800,54.4000,0.000000
FILLER_0_7_69,VGND,li1,64.8600,54.4000,0.000000
FILLER_0_7_57,VGND,li1,59.3400,54.4000,0.000000
FILLER_0_7_54,VGND,li1,55.6600,54.4000,0.000000
FILLER_0_7_42,VGND,li1,52.4400,54.4000,0.000000
FILLER_0_7_30,VGND,li1,46.9200,54.4000,0.000000
FILLER_0_7_18,VGND,li1,41.4000,54.4000,0.000000
FILLER_0_7_6,VGND,li1,35.8800,54.4000,0.000000
FILLER_0_6_77,VGND,li1,67.1600,48.9600,0.000000
FILLER_0_6_65,VGND,li1,63.0200,48.9600,0.000001
FILLER_0_6_53,VGND,li1,57.5000,48.9600,0.000001
FILLER_0_6_41,VGND,li1,51.9800,48.9600,0.000001
FILLER_0_6_29,VGND,li1,46.4600,48.9600,0.000001
FILLER_0_6_6,VGND,li1,33.3500,48.9600,0.000002
FILLER_0_5_81,VGND,li1,68.0800,48.9600,0.000000
FILLER_0_5_69,VGND,li1,64.8600,48.9600,0.000001
FILLER_0_5_57,VGND,li1,59.3400,48.9600,0.000001
FILLER_0_5_53,VGND,li1,55.4300,48.9600,0.000001
FILLER_0_5_41,VGND,li1,51.9800,48.9600,0.000001
FILLER_0_5_29,VGND,li1,46.4600,48.9600,0.000001
FILLER_0_5_17,VGND,li1,40.9400,48.9600,0.000002
FILLER_0_5_11,VGND,li1,36.1100,48.9600,0.000002
FILLER_0_5_3,VGND,li1,33.5800,48.9600,0.000002
FILLER_0_4_77,VGND,li1,67.1600,43.5200,0.000000
FILLER_0_4_65,VGND,li1,63.0200,43.5200,0.000000
FILLER_0_4_53,VGND,li1,57.5000,43.5200,0.000000
FILLER_0_4_41,VGND,li1,51.9800,43.5200,0.000000
FILLER_0_4_29,VGND,li1,46.4600,43.5200,0.000000
FILLER_0_4_27,VGND,li1,43.0100,43.5200,0.000000
FILLER_0_4_15,VGND,li1,40.0200,43.5200,0.000000
FILLER_0_4_3,VGND,li1,34.5000,43.5200,0.000000
FILLER_0_3_81,VGND,li1,68.0800,43.5200,0.000000
FILLER_0_3_69,VGND,li1,64.8600,43.5200,0.000000
FILLER_0_3_57,VGND,li1,59.3400,43.5200,0.000000
FILLER_0_3_55,VGND,li1,55.8900,43.5200,0.000000
FILLER_0_3_51,VGND,li1,54.7400,43.5200,0.000000
FILLER_0_3_39,VGND,li1,51.0600,43.5200,0.000000
FILLER_0_3_27,VGND,li1,45.5400,43.5200,0.000000
FILLER_0_3_15,VGND,li1,40.0200,43.5200,0.000000
FILLER_0_3_3,VGND,li1,34.5000,43.5200,0.000000
FILLER_0_2_77,VGND,li1,67.1600,38.0800,0.000000
FILLER_0_2_65,VGND,li1,63.0200,38.0800,0.000000
FILLER_0_2_53,VGND,li1,57.5000,38.0800,0.000000
FILLER_0_2_41,VGND,li1,51.9800,38.0800,0.000000
FILLER_0_2_29,VGND,li1,46.4600,38.0800,0.000000
FILLER_0_2_27,VGND,li1,43.0100,38.0800,0.000000
FILLER_0_2_15,VGND,li1,40.0200,38.0800,0.000000
FILLER_0_2_3,VGND,li1,34.5000,38.0800,0.000000
FILLER_0_1_81,VGND,li1,68.0800,38.0800,0.000000
FILLER_0_1_69,VGND,li1,64.8600,38.0800,0.000000
FILLER_0_1_57,VGND,li1,59.3400,38.0800,0.000000
FILLER_0_1_55,VGND,li1,55.8900,38.0800,0.000000
FILLER_0_1_51,VGND,li1,54.7400,38.0800,0.000000
FILLER_0_1_39,VGND,li1,51.0600,38.0800,0.000000
FILLER_0_1_27,VGND,li1,45.5400,38.0800,0.000000
FILLER_0_1_15,VGND,li1,40.0200,38.0800,0.000000
FILLER_0_1_3,VGND,li1,34.5000,38.0800,0.000000
FILLER_0_0_81,VGND,li1,68.0800,32.6400,0.000000
FILLER_0_0_69,VGND,li1,64.8600,32.6400,0.000000
FILLER_0_0_57,VGND,li1,59.3400,32.6400,0.000000
FILLER_0_0_53,VGND,li1,55.4300,32.6400,0.000000
FILLER_0_0_41,VGND,li1,51.9800,32.6400,0.000000
FILLER_0_0_29,VGND,li1,46.4600,32.6400,0.000000
FILLER_0_0_27,VGND,li1,43.0100,32.6400,0.000000
FILLER_0_0_15,VGND,li1,40.0200,32.6400,0.000000
FILLER_0_0_3,VGND,li1,34.5000,32.6400,0.000000
input2,VGND,li1,32.4300,54.4000,0.000000
input1,VGND,li1,32.4300,48.9600,0.000002
TAP_TAPCELL_ROW_12_40,VGND,li1,56.3500,65.5710,0.000000
TAP_TAPCELL_ROW_12_39,VGND,li1,43.4700,65.5710,0.000000
TAP_TAPCELL_ROW_11_38,VGND,li1,56.3500,64.9880,0.000000
TAP_TAPCELL_ROW_10_37,VGND,li1,43.4700,60.1310,0.000000
TAP_TAPCELL_ROW_9_36,VGND,li1,56.3500,59.5480,0.000000
TAP_TAPCELL_ROW_8_35,VGND,li1,43.4700,54.6910,0.000000
TAP_TAPCELL_ROW_7_34,VGND,li1,56.3500,54.1080,0.000000
TAP_TAPCELL_ROW_6_33,VGND,li1,43.4700,49.2510,0.000002
TAP_TAPCELL_ROW_5_32,VGND,li1,56.3500,48.6680,0.000001
TAP_TAPCELL_ROW_4_31,VGND,li1,43.4700,43.8110,0.000000
TAP_TAPCELL_ROW_3_30,VGND,li1,56.3500,43.2280,0.000000
TAP_TAPCELL_ROW_2_29,VGND,li1,43.4700,38.3710,0.000000
TAP_TAPCELL_ROW_1_28,VGND,li1,56.3500,37.7880,0.000000
TAP_TAPCELL_ROW_0_27,VGND,li1,56.3500,32.9310,0.000000
TAP_TAPCELL_ROW_0_26,VGND,li1,43.4700,32.9310,0.000000
PHY_EDGE_ROW_12_Left_25,VGND,li1,31.0500,65.2800,0.000000
PHY_EDGE_ROW_11_Left_24,VGND,li1,31.0500,65.2800,0.000000
PHY_EDGE_ROW_10_Left_23,VGND,li1,31.0500,59.8400,0.000000
PHY_EDGE_ROW_9_Left_22,VGND,li1,31.0500,59.8400,0.000000
PHY_EDGE_ROW_8_Left_21,VGND,li1,31.0500,54.4000,0.000000
PHY_EDGE_ROW_7_Left_20,VGND,li1,31.0500,54.4000,0.000000
PHY_EDGE_ROW_6_Left_19,VGND,li1,31.0500,48.9600,0.000002
PHY_EDGE_ROW_5_Left_18,VGND,li1,31.0500,48.9600,0.000002
PHY_EDGE_ROW_4_Left_17,VGND,li1,31.0500,43.5200,0.000000
PHY_EDGE_ROW_3_Left_16,VGND,li1,31.0500,43.5200,0.000000
PHY_EDGE_ROW_2_Left_15,VGND,li1,31.0500,38.0800,0.000000
PHY_EDGE_ROW_1_Left_14,VGND,li1,31.0500,38.0800,0.000000
PHY_EDGE_ROW_0_Left_13,VGND,li1,31.0500,32.6400,0.000000
PHY_EDGE_ROW_12_Right_12,VGND,li1,69.2300,65.2800,0.000000
PHY_EDGE_ROW_11_Right_11,VGND,li1,69.2300,65.2800,0.000000
PHY_EDGE_ROW_10_Right_10,VGND,li1,69.2300,59.8400,0.000000
PHY_EDGE_ROW_9_Right_9,VGND,li1,69.2300,59.8400,0.000000
PHY_EDGE_ROW_8_Right_8,VGND,li1,69.2300,54.4000,0.000000
PHY_EDGE_ROW_7_Right_7,VGND,li1,69.2300,54.4000,0.000000
PHY_EDGE_ROW_6_Right_6,VGND,li1,69.2300,48.9600,0.000000
PHY_EDGE_ROW_5_Right_5,VGND,li1,69.2300,48.9600,0.000000
PHY_EDGE_ROW_4_Right_4,VGND,li1,69.2300,43.5200,0.000000
PHY_EDGE_ROW_3_Right_3,VGND,li1,69.2300,43.5200,0.000000
PHY_EDGE_ROW_2_Right_2,VGND,li1,69.2300,38.0800,0.000000
PHY_EDGE_ROW_1_Right_1,VGND,li1,69.2300,38.0800,0.000000
PHY_EDGE_ROW_0_Right_0,VGND,li1,69.2300,32.6400,0.000000
_2_,VGND,li1,38.4100,48.9600,0.000002
_1_,VGND,li1,37.4900,48.9600,0.000002
