Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_12_81,VPWR,li1,68.0800,68.0000,1.800000
FILLER_0_12_69,VPWR,li1,64.8600,68.0000,1.800000
FILLER_0_12_57,VPWR,li1,59.3400,68.0000,1.800000
FILLER_0_12_53,VPWR,li1,55.4300,68.0000,1.800000
FILLER_0_12_41,VPWR,li1,51.9800,68.0000,1.800000
FILLER_0_12_29,VPWR,li1,46.4600,68.0000,1.800000
FILLER_0_12_27,VPWR,li1,43.0100,68.0000,1.800000
FILLER_0_12_15,VPWR,li1,40.0200,68.0000,1.800000
FILLER_0_12_3,VPWR,li1,34.5000,68.0000,1.800000
FILLER_0_11_81,VPWR,li1,68.0800,62.5600,1.800000
FILLER_0_11_69,VPWR,li1,64.8600,62.5600,1.800000
FILLER_0_11_57,VPWR,li1,59.3400,62.5600,1.800000
FILLER_0_11_55,VPWR,li1,55.8900,62.5600,1.800000
FILLER_0_11_51,VPWR,li1,54.7400,62.5600,1.800000
FILLER_0_11_39,VPWR,li1,51.0600,62.5600,1.800000
FILLER_0_11_27,VPWR,li1,45.5400,62.5600,1.800000
FILLER_0_11_15,VPWR,li1,40.0200,62.5600,1.800000
FILLER_0_11_3,VPWR,li1,34.5000,62.5600,1.800000
FILLER_0_10_77,VPWR,li1,67.1600,62.5600,1.800000
FILLER_0_10_65,VPWR,li1,63.0200,62.5600,1.800000
FILLER_0_10_53,VPWR,li1,57.5000,62.5600,1.800000
FILLER_0_10_41,VPWR,li1,51.9800,62.5600,1.800000
FILLER_0_10_29,VPWR,li1,46.4600,62.5600,1.800000
FILLER_0_10_27,VPWR,li1,43.0100,62.5600,1.800000
FILLER_0_10_15,VPWR,li1,40.0200,62.5600,1.800000
FILLER_0_10_3,VPWR,li1,34.5000,62.5600,1.800000
FILLER_0_9_81,VPWR,li1,68.0800,57.1200,1.800000
FILLER_0_9_69,VPWR,li1,64.8600,57.1200,1.800000
FILLER_0_9_57,VPWR,li1,59.3400,57.1200,1.800000
FILLER_0_9_55,VPWR,li1,55.8900,57.1200,1.800000
FILLER_0_9_51,VPWR,li1,54.7400,57.1200,1.800000
FILLER_0_9_39,VPWR,li1,51.0600,57.1200,1.800000
FILLER_0_9_27,VPWR,li1,45.5400,57.1200,1.800000
FILLER_0_9_15,VPWR,li1,40.0200,57.1200,1.800000
FILLER_0_9_3,VPWR,li1,34.5000,57.1200,1.800000
FILLER_0_8_77,VPWR,li1,67.1600,57.1200,1.800000
FILLER_0_8_65,VPWR,li1,63.0200,57.1200,1.800000
FILLER_0_8_53,VPWR,li1,57.5000,57.1200,1.800000
FILLER_0_8_41,VPWR,li1,51.9800,57.1200,1.800000
FILLER_0_8_29,VPWR,li1,46.4600,57.1200,1.800000
FILLER_0_8_27,VPWR,li1,43.0100,57.1200,1.800000
FILLER_0_8_15,VPWR,li1,40.0200,57.1200,1.800000
FILLER_0_8_3,VPWR,li1,34.5000,57.1200,1.800000
FILLER_0_7_81,VPWR,li1,68.0800,51.6800,1.800000
FILLER_0_7_69,VPWR,li1,64.8600,51.6800,1.800000
FILLER_0_7_57,VPWR,li1,59.3400,51.6800,1.799999
FILLER_0_7_54,VPWR,li1,55.6600,51.6800,1.799999
FILLER_0_7_42,VPWR,li1,52.4400,51.6800,1.799999
FILLER_0_7_30,VPWR,li1,46.9200,51.6800,1.799999
FILLER_0_7_18,VPWR,li1,41.4000,51.6800,1.799998
